community_id,name,address,year_built,developer,property_mgmt,property_fee,floor_area_ratio,green_ratio,parking_ratio,total_units,building_types,unit_sizes,avg_price,listing_count,features,coordinate_lng,coordinate_lat,data_source,data_updated,region_id
chengdu_cdjianyang_1445251,ACG时空动漫城,工简阳 - 城东新区 - 海井路99号 近地铁 近学校 第二绕城高速以外次新小区,2022,,,,,,,,,,5120.0,6,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989377,万安三峰悠山郡,工简阳 - 城东新区 - 雄州大道南段486号 近地铁 近学校 第二绕城高速以外,2014,,,,,,,,,,7375.0,5,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_999230,万峰城A区依云谷,工简阳 - 城东新区 - 雄州大道939号 近地铁 近学校 第二绕城高速以外绿化好,2017,,,,,,,,,,8334.0,29,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_996131,万峰城B区MINI公馆,工简阳 - 城东新区 - 雄州大道北段50号 近地铁 近学校 第二绕城高速以外小户型居多,2016,,,,,,,,,,7760.0,12,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1161227,万峰城D区峰景里,"工简阳 - 城东新区 - 东滨路北段138号,蜀阳路333号 近地铁 近学校 第二绕城高速以外",2019,,,,,,,,,,8670.0,45,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989190,三号花园,工简阳 - 城东新区 - 凌云路87号 近地铁 近学校 第二绕城高速以外小户型居多,2008,,,,,,,,,,6117.0,4,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1616307,三岔TOD-蔚澜之城,工简阳 - 三岔湖 - 空港新城汇流南路（地铁18号线三岔站B口旁） 近地铁 近学校 车位充足双阳台主卧套房装修交付卧室全朝南大户型厨卫全明,2023,,,,,,,,,,11128.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1576802,三岔TOD蔚澜之城,工简阳 - 三岔湖 - 三岔街道板桥村7组 近地铁 近学校 一房一价多轨交轨交房车位充足全景飘窗大阳台双卫生间双阳台主卧套房装修交付复式三房朝南卧室全朝南学校购物中心大户型低单价厨卫全明南北通透,2023,,,,,,,,,,8000.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989194,世外桃苑,工简阳 - 城东新区 - 龙颈路116号 近地铁 近学校 第二绕城高速以外小户型居多,2009,,,,,,,,,,5802.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1184258,世茂云湖,工东部新区 - 东部新城办 - 董家埂乡龙口村 近地铁 近学校 第二绕城高速以外大户型居多户型丰富别墅绿化好,2016,,,,,,,,,,8612.0,17,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1254628,东城1号,工简阳 - 城东新区 - 雄州大道北段282号 近地铁 近学校 第二绕城高速以外,2018,,,,,,,,,,8153.0,28,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_996129,东城华府A区,工简阳 - 城东新区 - 雄州大道南段639号 近地铁 近学校 第二绕城高速以外,2010,,,,,,,,,,8208.0,12,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_996130,东城华府B区,工简阳 - 城东新区 - 民生路288号 近地铁 近学校 第二绕城高速以外,2017,,,,,,,,,,8078.0,5,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1161814,东城华府C区滨河湾,"工简阳 - 城东新区 - 东滨路中段1190号,蜀阳路229号 近地铁 近学校 第二绕城高速以外",2014,,,,,,,,,,8889.0,20,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989209,东城国际加州花园,工简阳 - 城东新区 - 东溪大道65号 近地铁 近学校 第二绕城高速以外,2005,,,,,,,,,,6079.0,15,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1161818,东城国际滨江新城,工简阳 - 城东新区 - 东溪大道132号 近地铁 近学校 第二绕城高速以外,2015,,,,,,,,,,7296.0,13,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1161833,东方威尼斯A区(简阳),工简阳 - 老城区 - 滨江路南段3号 近地铁 近学校 第二绕城高速以外,2013,,,,,,,,,,5673.0,21,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1522808,东方威尼斯B区(简阳),工简阳 - 老城区 - 滨江南路5号 近地铁 近学校 第二绕城高速以外大户型居多,2014,,,,,,,,,,6867.0,3,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_996374,东江锦绣,工简阳 - 城东新区 - 东溪大道666号 近地铁 近学校 第二绕城高速以外,2010,,,,,,,,,,6358.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989210,东湖胜景(1期),工简阳 - 城东新区 - 雄州大道南段349号 近地铁 近学校 第二绕城高速以外,2009,,,,,,,,,,6289.0,4,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989211,东湖胜景(2期),"工简阳 - 城东新区 - 雄州大道南段349号,泛月路17号 近地铁 近学校 第二绕城高速以外",2013,,,,,,,,,,6829.0,15,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1385177,东溪北路55号院,工简阳 - 老城区 - 东溪北路55号 近地铁 近学校 第二绕城高速以外,2001,,,,,,,,,,4500.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1302471,东门丽景,工简阳 - 老城区 - 五友路一段133号 近地铁 近学校 第二绕城高速以外,1999,,,,,,,,,,3700.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1161831,丰荷苑,"工简阳 - 老城区 - 川工街28号,凤山路186号 近地铁 近学校 第二绕城高速以外",2000,,,,,,,,,,5693.0,1,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1446497,丹景揽胜小镇,工东部新区 - 东部新城办 - 团堡村4组188号 近地铁 近学校 第二绕城高速以外别墅绿化好,2020,,,,,,,,,,8100.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989181,丽都苑(简阳),工简阳 - 城东新区 - 雄州大道南段252号 近地铁 近学校 第二绕城高速以外,2008,,,,,,,,,,4950.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1880875,云上花居,,,,,,,,,,,,5050.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1547391,云上花居(新房),工简阳 - 老城区 - 沱工街59号 近地铁 近学校 一房一价车位充足高绿化率全景飘窗双阳台大户型厨卫全明,2022,,,,,,,,,,,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1616226,云上花居(新房),工简阳 - 城东新区 - 简阳市沱工街59号 近地铁 近学校 双阳台主卧套房大户型低总价低单价厨卫全明南北通透人气榜,2024,,,,,,,,,,8700.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1232735,五友路2段31号,工简阳 - 老城区 - 五友路2段31号 近地铁 近学校 第二绕城高速以外,2005,,,,,,,,,,4400.0,1,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1285909,五友路一段131号院,工简阳 - 老城区 - 五友路一段131号 近地铁 近学校 第二绕城高速以外,2003,,,,,,,,,,5300.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1372523,五友路三段67号小区,工简阳 - 老城区 - 五友路三段67号 近地铁 近学校 第二绕城高速以外,2000,,,,,,,,,,3250.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1242654,京汉新城悦隽江山,工简阳 - 城东新区 - 东壮路733号 近地铁 近学校 第二绕城高速以外,2020,,,,,,,,,,7346.0,14,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1242655,京汉新城悦隽风华,工简阳 - 城东新区 - 射洪路北段399号 近地铁 近学校 第二绕城高速以外次新小区,2020,,,,,,,,,,7732.0,15,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989413,京龙江水湾,工简阳 - 城东新区 - 东滨路南段176号 近地铁 近学校 第二绕城高速以外,2011,,,,,,,,,,6225.0,16,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1232783,京龙江水湾星座,工简阳 - 城东新区 - 东滨路南段46号 近地铁 近学校 第二绕城高速以外小户型居多,2001,,,,,,,,,,5526.0,6,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989414,京龙阳峰嘉苑,"工简阳 - 老城区 - 建设中路835号,建设中路669号 近地铁 近学校 第二绕城高速以外",1999,,,,,,,,,,5601.0,3,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1524473,亿联国际商贸城(商住楼),工简阳 - 城东新区 - 回龙大道1069号 近地铁 近学校 第二绕城高速以外大户型居多,2000,,,,,,,,,,3250.0,3,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989189,仁和苑(简阳市),工简阳 - 老城区 - 白塔路298号 近地铁 近学校 第二绕城高速以外,1997,,,,,,,,,,4534.0,5,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1232770,仁和西城小区,工简阳 - 老城区 - 电材巷146号 近地铁 近学校 第二绕城高速以外,1980,,,,,,,,,,3650.0,1,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1371640,优佳国际,工简阳 - 老城区 - 川工街33号 近地铁 近学校 第一绕城第二绕城高速之间次新小区,2022,,,,,,,,,,6034.0,4,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_996276,佰盛杰座,工简阳 - 城东新区 - 金融街25号 近地铁 近学校 第二绕城高速以外,2010,,,,,,,,,,6600.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1254028,佰盛隆湖盛璟,"工东部新区 - 东部新城办 - 08780县道,龙马大道1号 近地铁 近学校 第二绕城高速以外小户型居多",2018,,,,,,,,,,4750.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1053201,佰盛香悦里,工简阳 - 城东新区 - 泰安路39号 近地铁 近学校 第二绕城高速以外小户型居多,2013,,,,,,,,,,7210.0,9,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1440198,光明巷居民楼,工简阳 - 老城区 - 北街26号 近地铁 近学校 第二绕城高速以外,1999,,,,,,,,,,3950.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989213,公园印象,"工简阳 - 老城区 - 安象街75号,安象街29号 近地铁 近学校 第二绕城高速以外",2006,,,,,,,,,,4600.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_989184,六号花园,工简阳 - 城东新区 - 东升街68号 近地铁 近学校 第二绕城高速以外小户型居多,2013,,,,,,,,,,5729.0,6,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1545732,兰庭欧居(新房),工简阳 - 三岔湖 - 牌坊路96号 近地铁 近学校 一房一价车位充足高绿化率全景飘窗双卫生间双阳台主卧套房大户型厨卫全明南北通透,2023,,,,,,,,,,5500.0,0,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1432617,兰苑(简阳),工简阳 - 老城区 - 红建路北段 近地铁 近学校 第二绕城高速以外大户型居多,2000,,,,,,,,,,4050.0,2,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
chengdu_cdjianyang_1830554,兴唐府,工简阳 - 城东新区 - 观音井路233号 近地铁 近学校 第二绕城高速以外次新小区,2022,,,,,,,,,,8478.0,33,,,,anjuke,2026-07-06 09:44:17,chengdu_cdjianyang
