小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
天元江山壹品,滨河西路,8774.0,29,2000,单位自建,业主自管,0.9,2.5,30.0,,,"[""高层""]",108.057976,34.240441,10
熙樾台,常青路,8496.0,7,,暂无,暂无,,,,,,"[""高层""]",108.0862122,34.264507,26
熙樾臺,树木园北侧地块,8200.0,0,2023,杨凌示范区农科房地产开发有限公司,杨凌新时代商业运营管理有限公司,1.5,1.96,41.0,,,,108.086657,34.264745,26
沁园春天,邰城路,8178.0,44,,暂无,暂无,,,,,,"[""多层""]",108.07808,34.246278,23
杨凌明丰云庐,咸阳市杨凌区水韵天伦东侧,7500.0,0,,暂无,暂无,,,,,,"[""高层""]",108.068867,34.240089,13
天元壹号院,洪璋路5号,7319.0,8,,暂无,暂无,,,,,,"[""小高层""]",108.052816,34.26418,19
沁园春苑,有邰路,7312.0,5,,暂无,暂无,,,,,,"[""高层"", ""高层""]",108.067834,34.253248,18
明丰·雲庐,滨河路水运广场向西150米（医科学校对面）,7000.0,0,2025,杨凌明海丰置业有限责任公司,暂无,,1.8,36.0,,,,108.06785380630751,34.24075726655329,13
杨凌绿地世界城二期江南悦,自贸大街,6978.0,25,,暂无,暂无,,,,,2358,"[""高层""]",108.0644293,34.2458216,14
天元邰城印,渭惠路,6944.0,3,,暂无,暂无,,,,,,"[""高层""]",108.076428,34.267977,26
沁园春居,"城南路,近水运东路",6694.0,31,2007,单位自建,业主自管,0.9,2.25,36.0,,3201,"[""高层""]",108.081934,34.246173,23
华星公园里,滨河东路,6631.0,40,2018,单位自建,业主自管,0.9,2.5,20.0,,1512,"[""高层""]",108.079515,34.241573,14
碧水华庭,滨河路,6583.0,11,,暂无,暂无,,,,,,"[""高层""]",108.0563213,34.2397492,9
泰和府,"新桥路,近五胡路",6562.0,39,,暂无,暂无,,2.5,,,2186,"[""高层""]",108.096342,34.254734,22
杨凌绿地世界城三期江南忆,自贸大街,6496.0,16,,暂无,暂无,,,,,,"[""高层""]",108.067508,34.246762,15
